name,time,heat,kWhr,local_dt,old_plug,parm,watts
power,2023-01-19T00:44:08Z,ON,,2023-01-18T19:44:08,,,
power,2023-01-19T00:45:09Z,,,2023-01-18T19:45:09,ON,,
power,2023-01-19T00:46:24Z,OFF,,2023-01-18T19:46:24,,,
power,2023-01-19T00:49:08Z,,107.644,2023-01-18T19:49:08,,lamp_pwr,0
power,2023-01-19T00:49:08Z,OFF,,2023-01-18T19:49:08,,,
power,2023-01-19T00:50:09Z,,,2023-01-18T19:50:09,ON,,
power,2023-01-19T00:54:08Z,,107.644,2023-01-18T19:54:08,,lamp_pwr,0
power,2023-01-19T00:54:08Z,OFF,,2023-01-18T19:54:08,,,
power,2023-01-19T00:55:09Z,,,2023-01-18T19:55:09,ON,,
power,2023-01-19T00:59:08Z,,107.644,2023-01-18T19:59:08,,lamp_pwr,0
power,2023-01-19T00:59:08Z,OFF,,2023-01-18T19:59:08,,,
power,2023-01-19T01:00:09Z,,,2023-01-18T20:00:09,ON,,
power,2023-01-19T01:04:08Z,,107.644,2023-01-18T20:04:08,,lamp_pwr,0
power,2023-01-19T01:04:08Z,OFF,,2023-01-18T20:04:08,,,
power,2023-01-19T01:05:09Z,,,2023-01-18T20:05:09,ON,,
power,2023-01-19T01:09:08Z,,107.644,2023-01-18T20:09:08,,lamp_pwr,0
power,2023-01-19T01:09:08Z,OFF,,2023-01-18T20:09:08,,,
power,2023-01-19T01:10:09Z,,,2023-01-18T20:10:09,ON,,
power,2023-01-19T01:10:29Z,ON,,2023-01-18T20:10:29,,,
power,2023-01-19T01:14:08Z,,107.656,2023-01-18T20:14:08,,lamp_pwr,184
power,2023-01-19T01:14:08Z,ON,,2023-01-18T20:14:08,,,
power,2023-01-19T01:15:09Z,,,2023-01-18T20:15:09,ON,,
power,2023-01-19T01:19:08Z,,107.671,2023-01-18T20:19:08,,lamp_pwr,182
power,2023-01-19T01:19:08Z,ON,,2023-01-18T20:19:08,,,
power,2023-01-19T01:20:09Z,,,2023-01-18T20:20:09,ON,,
power,2023-01-19T01:20:32Z,OFF,,2023-01-18T20:20:32,,,
power,2023-01-19T01:24:08Z,,107.676,2023-01-18T20:24:08,,lamp_pwr,0
power,2023-01-19T01:24:08Z,OFF,,2023-01-18T20:24:08,,,
power,2023-01-19T01:25:09Z,,,2023-01-18T20:25:09,ON,,
power,2023-01-19T01:29:08Z,,107.676,2023-01-18T20:29:08,,lamp_pwr,0
power,2023-01-19T01:29:08Z,OFF,,2023-01-18T20:29:08,,,
power,2023-01-19T01:30:09Z,,,2023-01-18T20:30:09,ON,,
power,2023-01-19T01:34:08Z,,107.676,2023-01-18T20:34:08,,lamp_pwr,0
power,2023-01-19T01:34:08Z,OFF,,2023-01-18T20:34:08,,,
power,2023-01-19T01:35:09Z,,,2023-01-18T20:35:09,ON,,
power,2023-01-19T01:39:08Z,,107.676,2023-01-18T20:39:08,,lamp_pwr,0
power,2023-01-19T01:39:08Z,OFF,,2023-01-18T20:39:08,,,
power,2023-01-19T01:40:09Z,,,2023-01-18T20:40:09,ON,,
power,2023-01-19T01:41:37Z,ON,,2023-01-18T20:41:37,,,
power,2023-01-19T01:44:08Z,,107.684,2023-01-18T20:44:08,,lamp_pwr,184
power,2023-01-19T01:44:08Z,ON,,2023-01-18T20:44:08,,,
power,2023-01-19T01:45:09Z,,,2023-01-18T20:45:09,ON,,
power,2023-01-19T01:49:08Z,,107.699,2023-01-18T20:49:08,,lamp_pwr,184
power,2023-01-19T01:49:08Z,ON,,2023-01-18T20:49:08,,,
power,2023-01-19T01:50:09Z,,,2023-01-18T20:50:09,ON,,
power,2023-01-19T01:51:40Z,OFF,,2023-01-18T20:51:40,,,
power,2023-01-19T01:54:08Z,,107.707,2023-01-18T20:54:08,,lamp_pwr,0
power,2023-01-19T01:54:08Z,OFF,,2023-01-18T20:54:08,,,
power,2023-01-19T01:55:09Z,,,2023-01-18T20:55:09,ON,,
power,2023-01-19T01:59:08Z,,107.707,2023-01-18T20:59:08,,lamp_pwr,0
power,2023-01-19T01:59:08Z,OFF,,2023-01-18T20:59:08,,,
power,2023-01-19T02:00:09Z,,,2023-01-18T21:00:09,ON,,
power,2023-01-19T02:04:08Z,,107.707,2023-01-18T21:04:08,,lamp_pwr,0
power,2023-01-19T02:04:08Z,OFF,,2023-01-18T21:04:08,,,
power,2023-01-19T02:05:09Z,,,2023-01-18T21:05:09,ON,,
power,2023-01-19T02:09:08Z,,107.707,2023-01-18T21:09:08,,lamp_pwr,0
power,2023-01-19T02:09:08Z,OFF,,2023-01-18T21:09:08,,,
power,2023-01-19T02:10:09Z,,,2023-01-18T21:10:09,ON,,
power,2023-01-19T02:13:45Z,ON,,2023-01-18T21:13:45,,,
power,2023-01-19T02:14:08Z,,107.708,2023-01-18T21:14:08,,lamp_pwr,186
power,2023-01-19T02:14:08Z,ON,,2023-01-18T21:14:08,,,
power,2023-01-19T02:15:09Z,,,2023-01-18T21:15:09,ON,,
power,2023-01-19T02:19:08Z,,107.724,2023-01-18T21:19:08,,lamp_pwr,184
power,2023-01-19T02:19:08Z,ON,,2023-01-18T21:19:08,,,
power,2023-01-19T02:20:09Z,,,2023-01-18T21:20:09,ON,,
power,2023-01-19T02:23:48Z,OFF,,2023-01-18T21:23:48,,,
power,2023-01-19T02:24:08Z,,107.738,2023-01-18T21:24:08,,lamp_pwr,0
power,2023-01-19T02:24:08Z,OFF,,2023-01-18T21:24:08,,,
power,2023-01-19T02:25:09Z,,,2023-01-18T21:25:09,ON,,
power,2023-01-28T19:51:04Z,OFF,,2023-01-28T14:51:04,ON,,
power,2023-01-28T19:52:04Z,ON,,2023-01-28T14:52:04,,,
power,2023-01-28T19:53:06Z,,,2023-01-28T14:53:06,ON,,
power,2023-01-28T19:54:50Z,,107.738,2023-01-28T14:54:50,,lamp_pwr,0
power,2023-01-28T19:54:51Z,ON,,2023-01-28T14:54:51,,,
power,2023-01-28T19:58:06Z,,,2023-01-28T14:58:06,ON,,
power,2023-01-28T19:59:50Z,,107.738,2023-01-28T14:59:50,,lamp_pwr,0
power,2023-01-28T19:59:51Z,ON,,2023-01-28T14:59:51,,,
power,2023-01-28T20:03:06Z,,,2023-01-28T15:03:06,ON,,
power,2023-01-28T20:04:50Z,,107.738,2023-01-28T15:04:50,,lamp_pwr,0
power,2023-01-28T20:04:51Z,ON,,2023-01-28T15:04:51,,,
power,2023-01-28T20:08:06Z,,,2023-01-28T15:08:06,ON,,
power,2023-01-28T20:09:51Z,,107.738,2023-01-28T15:09:51,,lamp_pwr,0
power,2023-01-28T20:09:51Z,ON,,2023-01-28T15:09:51,,,
power,2023-01-28T20:13:06Z,,,2023-01-28T15:13:06,ON,,
power,2023-01-28T20:14:51Z,,107.738,2023-01-28T15:14:51,,lamp_pwr,0
power,2023-01-28T20:14:51Z,ON,,2023-01-28T15:14:51,,,
power,2023-01-28T20:18:06Z,,,2023-01-28T15:18:06,ON,,
power,2023-01-28T20:19:51Z,,107.738,2023-01-28T15:19:51,,lamp_pwr,0
power,2023-01-28T20:19:51Z,ON,,2023-01-28T15:19:51,,,
power,2023-01-28T20:23:06Z,,,2023-01-28T15:23:06,ON,,
power,2023-01-28T20:24:51Z,,107.738,2023-01-28T15:24:51,,lamp_pwr,0
power,2023-01-28T20:24:51Z,ON,,2023-01-28T15:24:51,,,
power,2023-01-28T20:28:06Z,,,2023-01-28T15:28:06,ON,,
power,2023-01-28T20:29:51Z,,107.738,2023-01-28T15:29:51,,lamp_pwr,0
power,2023-01-28T20:29:51Z,ON,,2023-01-28T15:29:51,,,
power,2023-01-28T20:33:06Z,,,2023-01-28T15:33:06,ON,,
power,2023-01-28T20:34:51Z,,107.738,2023-01-28T15:34:51,,lamp_pwr,0
power,2023-01-28T20:34:51Z,ON,,2023-01-28T15:34:51,,,
power,2023-01-28T20:36:46Z,,,2023-01-28T15:36:46,,,
power,2023-01-28T20:36:47Z,,,2023-01-28T15:36:47,ON,,
power,2023-01-28T20:38:06Z,,,2023-01-28T15:38:06,ON,,
power,2023-01-28T20:39:51Z,,107.738,2023-01-28T15:39:51,,lamp_pwr,0
power,2023-01-28T20:39:51Z,ON,,2023-01-28T15:39:51,,,
power,2023-01-28T20:43:06Z,,,2023-01-28T15:43:06,ON,,
power,2023-01-28T20:44:51Z,ON,,2023-01-28T15:44:51,,,
power,2023-01-28T20:44:52Z,,107.738,2023-01-28T15:44:52,,lamp_pwr,0
power,2023-01-28T20:48:06Z,,,2023-01-28T15:48:06,ON,,
