name,time,avg_temp_closet,avg_temp_outdoor,avg_temp_shed,heater_kWhr,heater_on,interval,local_dt,max_temp_closet,min_temp_closet,pct_heater_on,yr_mo,yr_mo_1
d1_temp,2023-10-15T04:00:00Z,18.861740451388894,17.410503472222217,16.38025173611111,0.07600000000002183,0.4349939352777778,23.9888088736575,2023-10-15T00:00:40,21.375,15.4375,0.018133202760035813,,23-10
d1_temp,2023-10-16T04:00:00Z,17.752962239583336,13.863465711805555,16.712174479166666,0,0,24.003209080537502,2023-10-16T00:00:00,19.5625,15.5625,0,,23-10
d1_temp,2023-10-17T04:00:00Z,17.045789930555554,15.565559895833331,16.85891927083333,0,0,24.004831888397504,2023-10-17T00:00:12,18,15.5,0,,23-10
d1_temp,2023-10-18T04:00:00Z,16.449175347222223,13.056575520833334,16.772135416666664,0.07099999999996953,0.4014621305555555,24.00634176523972,2023-10-18T00:00:29,17.625,15.4375,0.01672316983909883,,23-10
d1_temp,2023-10-19T04:00:00Z,18.88781467013889,17.251703559027778,17.864561631944444,0.08199999999999363,0.45181295000000005,23.992066727541122,2023-10-19T00:00:52,23.0625,15.4375,0.018831764479937535,,23-10
d1_temp,2023-10-20T04:00:00Z,16.408854166666668,13.531174045138892,17.608289930555557,0,0,24.005234538309725,2023-10-20T00:00:23,19.3125,15.5625,0,,23-10
d1_temp,2023-10-21T04:00:00Z,16.824576822916665,14.359722222222222,18.55077039930556,0,0,23.988436193855286,2023-10-21T00:00:42,18.0625,15.5625,0,,23-10
d1_temp,2023-10-22T04:00:00Z,17.364485677083334,13.349338107638886,16.44662543402778,0,0,24.005467797328055,2023-10-22T00:00:01,20.125,15.75,0,,23-10
d1_temp,2023-10-23T04:00:00Z,17.320225694444442,12.036631944444446,15.014279513888889,0.22999999999996135,1.2879483083333334,24.007283236035,2023-10-23T00:00:20,20.1875,15.4375,0.053648232316438005,,23-10
d1_temp,2023-10-24T04:00:00Z,16.123914930555546,10.327734374999995,13.404014756944443,0.47100000000000364,2.608789542122222,23.98941528351111,2023-10-24T00:00:46,17.75,15.4375,0.10874752516020463,,23-10
